item	onset	offset
p	278.646	278.676
e	278.676	278.753
t	278.753	278.813
ə	278.813	278.84
s	278.84	278.933
e	278.933	279.077
l	279.077	279.124
i	279.124	279.178
m	279.178	279.258
ɛ	279.258	279.351
s	279.351	279.466
ɛ	279.466	279.509
n	279.509	279.556
ɑ	279.556	279.663
l	279.663	279.717
z	279.717	279.781
ʏ	279.781	279.854
l	279.854	279.895
k	279.895	279.934
s	279.934	280.004
p	280.004	280.08
ʏ	280.08	280.139
l	280.139	280.214
w	280.214	280.285
a	280.285	280.328
r	280.328	280.366
ɑu	280.366	280.465
w	280.465	280.519
ə	280.519	280.562
t	280.64	280.692
ɑ	280.692	280.765
n	280.765	280.832
t	280.832	280.887
ə	280.887	280.934
s	280.934	281.001
ɪ	281.001	281.091
n	281.091	281.171
t	281.206	281.259
r	281.259	281.326
ɑ	281.326	281.428
p	281.428	281.543
ə	281.543	281.687
h	281.687	281.711
ɛ	281.711	281.821
p	281.898	281.922
e	281.922	282.029
t	282.029	282.099
ə	282.099	282.123
r	282.123	282.142
s	282.142	282.298
e	282.298	282.436
l	282.436	282.489
i	282.489	282.575
m	282.575	282.669
ɛ	282.669	282.762
s	282.762	282.844
t	282.844	282.893
k	282.893	282.973
ɪ	282.973	283.07
n	283.07	283.155
t	283.155	283.193
w	283.193	283.236
e	283.236	283.347
t	283.347	283.402
j	283.402	283.429
ɛi	283.429	283.596
v	283.596	283.697
e	283.697	283.85
l	283.85	283.918
ɪ	284.126	284.218
k	284.218	284.276
z	284.276	284.348
ɑ	284.348	284.413
l	284.413	284.447
j	284.447	284.52
ə	284.52	284.568
z	284.568	284.646
ɛ	284.646	284.711
χ	284.711	284.787
ə	284.787	284.837
w	284.851	284.894
ɑ	284.894	284.942
t	284.942	284.999
ɪ	284.999	285.047
k	285.047	285.099
v	285.099	285.182
ɛ	285.182	285.202
r	285.202	285.232
k	285.232	285.308
o	285.308	285.444
p	285.444	285.482
m	285.573	285.656
ɛi	285.656	285.745
n	285.745	285.803
s	285.803	285.873
ʏ	285.873	285.928
k	285.928	285.987
s	285.987	286.079
ɛ	286.079	286.157
s	286.157	286.257
ɪ	286.257	286.324
s	286.324	286.393
k	286.492	286.54
u	286.54	286.62
n	286.62	286.713
r	286.713	286.769
a	286.769	286.88
t	286.88	286.932
s	286.932	286.974
k	287.016	287.048
l	287.048	287.083
e	287.083	287.183
f	287.183	287.254
p	287.315	287.346
ɑ	287.346	287.413
s	287.413	287.518
t	287.518	287.573
a	287.573	287.749
w	288.028	288.067
e	288.067	288.207
ə	288.283	288.36
t	288.36	288.438
k	288.438	288.522
ɪ	288.522	288.593
n	288.593	288.673
d	288.673	288.726
ɑ	288.726	288.779
t	288.779	288.845
e	288.94	289.043
n	289.043	289.099
s	289.099	289.173
a	289.173	289.286
n	289.286	289.326
m	289.326	289.369
ɛi	289.369	289.469
n	289.469	289.525
l	289.525	289.581
ɛi	289.581	289.69
m	289.69	289.733
b	289.733	289.782
l	289.782	289.811
ɛi	289.811	289.897
f	289.897	289.955
t	289.955	290.018
ɑ	290.018	290.094
ŋ	290.094	290.17
ə	290.17	290.242
ə	290.288	290.401
t	290.401	290.488
k	290.559	290.631
ɔ	290.631	290.745
m	290.745	290.861
n	290.99	291.082
i	291.082	291.173
t	291.173	291.219
m	291.281	291.323
e	291.323	291.403
l	291.403	291.471
ɔ	291.471	291.565
s	291.565	291.692
k	292.169	292.206
u	292.206	292.254
n	292.254	292.368
r	292.368	292.438
a	292.438	292.598
t	292.598	292.651
s	292.651	292.721
k	292.721	292.803
l	292.803	292.823
e	292.823	292.97
f	292.97	293.053
p	293.053	293.096
ɑ	293.096	293.177
s	293.177	293.276
t	293.276	293.34
a	293.34	293.581
l	293.951	294.077
ɛi	294.077	294.229
m	294.229	294.322
t	294.379	294.474
p	294.605	294.656
l	294.656	294.703
ɑ	294.703	294.764
k	294.764	294.869
t	294.869	294.98
ɛ	294.98	295.057
n	295.057	295.106
k	295.106	295.229
ɪ	295.229	295.32
t	295.43	295.495
ɑ	296.011	296.102
l	296.102	296.143
ə	296.143	296.208
s	296.208	296.384
l	296.494	296.545
a	296.545	296.654
t	296.654	296.698
y	296.698	296.772
m	296.772	296.799
e	297.427	297.482
r	297.482	297.539
ə	297.539	297.588
d	331.598	331.635
ɑ	331.635	331.67
t	331.67	331.728
